epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0862,2.46527,3.9339,2.04101,0.003,0.5,0.00265,0.00086,2.29893,3.97971,2.23472,5.001e-05,5.001e-05,5.001e-05
2,29.1587,1.8922,3.67161,1.57361,0.00725,1,0.12065,0.02473,1.58763,3.7653,1.68044,0.00011438,0.00011438,0.00011438
3,39.9937,1.55034,3.03087,1.29932,0.00697,1,0.57567,0.26237,1.27955,3.43576,1.40124,0.000176109,0.000176109,0.000176109
4,50.616,1.38471,2.22603,1.14189,0.00687,1,0.56459,0.34388,1.3342,3.1174,1.16219,0.000235197,0.000235197,0.000235197
5,61.1984,1.47525,2.06953,1.16427,0.00674,1,0.53518,0.38037,1.17011,3.06693,1.08953,0.000291645,0.000291645,0.000291645
6,71.8783,1.28289,1.9796,1.11484,0.00668,1,0.55653,0.37928,1.16443,3.03542,1.07385,0.000345452,0.000345452,0.000345452
7,82.7221,1.31037,1.81288,1.05123,0.00668,1,0.51123,0.30709,1.13023,3.01704,1.08137,0.000396619,0.000396619,0.000396619
8,95.6794,1.03117,1.76497,1.04102,0.00675,1,0.55537,0.3489,1.06101,2.91714,1.04378,0.000445146,0.000445146,0.000445146
9,106.306,1.12786,1.67555,1.06492,0.00676,1,0.51548,0.36882,1.02816,2.97642,1.03764,0.000491032,0.000491032,0.000491032
10,116.799,1.38721,1.7569,1.19017,0.00667,1,0.48922,0.26507,1.29297,3.00389,1.11246,0.000534277,0.000534277,0.000534277
11,127.218,1.19032,1.61303,1.04124,0.00667,1,0.48917,0.32157,1.13751,2.84606,1.00109,0.000574882,0.000574882,0.000574882
12,137.693,1.22329,1.72095,1.08759,0.38027,1,0.52514,0.33514,1.0677,2.73501,0.93079,0.000612846,0.000612846,0.000612846
13,148.34,1.13933,1.4385,0.9828,0.18761,0.24398,0.4975,0.25896,1.44636,2.76255,1.0242,0.00064817,0.00064817,0.00064817
14,158.715,1.29281,1.39055,1.04694,0.18562,0.35687,0.39197,0.2474,1.23752,2.81539,0.94388,0.000680853,0.000680853,0.000680853
15,169.149,1.21271,1.36663,1.05322,0.08491,0.10189,0.37308,0.27153,0.95376,2.95413,0.90318,0.000710895,0.000710895,0.000710895
16,179.499,1.17419,1.6928,1.0657,0.00667,1,0.10102,0.06684,1.25062,3.28113,1.10071,0.000738298,0.000738298,0.000738298
17,189.879,1.44137,1.34746,1.18789,0.00667,1,0.14482,0.09475,1.26769,3.34339,1.12544,0.000763059,0.000763059,0.000763059
18,200.895,1.08435,1.33686,1.06214,0.00667,1,0.12298,0.07605,1.10646,3.30422,1.03174,0.00078518,0.00078518,0.00078518
19,211.299,1.14947,1.16688,1.04436,0.00667,1,0.11432,0.07589,1.06454,3.24042,0.99081,0.000804661,0.000804661,0.000804661
20,222.671,1.12522,1.14329,1.02914,0.00667,1,0.25511,0.16534,1.07285,3.17822,0.97373,0.000821501,0.000821501,0.000821501
21,233.524,1.06269,1.19406,1.03928,0.0067,1,0.35617,0.22876,1.01842,3.03196,0.92634,0.0008357,0.0008357,0.0008357
22,244.077,1.16433,1.0594,1.00328,0.03955,1,0.3211,0.19007,1.27555,2.99762,0.95334,0.000847259,0.000847259,0.000847259
23,255.039,1.24305,1.07763,1.05629,0.23562,0.5,0.26798,0.14362,1.35028,2.96237,1.02608,0.000856178,0.000856178,0.000856178
24,265.922,1.20969,1.15835,1.11146,0.71904,0.39084,0.30072,0.19198,1.10624,2.90021,0.96312,0.000862456,0.000862456,0.000862456
25,276.326,1.14844,0.98376,1.02803,0.73403,0.44252,0.32926,0.2442,0.99906,2.8171,0.94771,0.000866093,0.000866093,0.000866093
26,290.956,1.01518,0.96297,0.99701,0.1946,0.32045,0.42107,0.28075,1.11023,2.73953,1.00863,0.000841835,0.000841835,0.000841835
27,302.245,1.1419,1.04287,1.06313,0.24547,0.38783,0.39785,0.27564,1.02825,2.85474,0.98722,0.000808828,0.000808828,0.000808828
28,313.582,1.00497,0.9373,1.0436,0.0861,0.10465,0.30057,0.213,0.94051,3.01,0.95854,0.000775822,0.000775822,0.000775822
29,324.396,1.05643,0.87165,1.01174,0.08035,0.09642,0.21209,0.1509,0.98775,3.19744,0.99422,0.000742815,0.000742815,0.000742815
30,334.924,0.98583,1.06235,1.0458,0.10795,0.12954,0.13766,0.09882,1.04946,3.3144,1.01927,0.000709809,0.000709809,0.000709809
31,345.439,1.0224,1.00586,1.05275,0.13373,0.16047,0.16163,0.11789,1.03059,3.30473,1.0346,0.000676802,0.000676802,0.000676802
32,355.958,1.11685,1.00081,1.07759,0.14527,0.17433,0.26946,0.20399,0.93282,3.22959,0.98301,0.000643795,0.000643795,0.000643795
33,366.454,1.36217,1.28166,1.24189,0.14596,0.17515,0.2993,0.23134,0.90808,3.19067,0.97938,0.000610789,0.000610789,0.000610789
34,377.372,1.04981,0.87185,1.02127,0.17147,0.22082,0.34559,0.26326,0.90498,3.15558,0.97563,0.000577782,0.000577782,0.000577782
35,388.02,1.19761,0.89701,1.03711,0.13222,0.18213,0.27653,0.20762,0.94991,3.13946,0.98353,0.000544776,0.000544776,0.000544776
36,399.247,0.85737,0.86983,0.95538,0.16827,0.25693,0.21581,0.16112,0.94912,3.17496,0.98219,0.000511769,0.000511769,0.000511769
37,415.136,1.09452,0.83857,1.03476,0.19651,0.32595,0.22621,0.16399,0.9022,3.15981,0.96495,0.000478762,0.000478762,0.000478762
38,440.698,1.02485,0.80718,1.01972,0.22018,0.32822,0.23852,0.16571,0.82901,3.19036,0.95567,0.000445756,0.000445756,0.000445756
